NAME,gauge_ID,staion_nam,lat,lon
LAKE TAYLOR,TAYLORS,Taylors Lake,-36.783436899772425,142.38361438566585
UPPER STONY CREEK RESERVOIR,RE604,Upper Stony,-37.81835304591356,144.20363450185346
LAKE EILDON,sp-o10334,EILDON,-37.16223066332908,145.9658190871287
LAKE MENINDEE,425022,LAKE MENINDEE,-32.342073559486025,142.328468564745
WARANGA BASIN,sp-o11534,WARANGA BASIN,-36.55521837642095,145.09679129423787
LAKE NILLAHCOOTIE,sp-o10930,Lake Nillahcootie,-36.88446999335252,146.0025060721685
MCCAY RESERVOIR,MCCAY,McCay Storage,-37.0915514186922,144.30048895256786
LAKE BUFFALO,sp-o10109,Lake Buffalo,-36.730874253646256,146.6594563705928
MAROONDAH RESERVOIR,229130A,WATTS RIV-MAROONDAH,-37.63415248421112,145.56416204585742
UPPER YARRA RESERVOIR,229102A,YARRA RIV-UY RES HG,-37.68742713934322,145.92625931141038
WHITE SWAN RESERVOIR,233232A,White Swan,-37.513508281388525,143.92067323399988
BOSTOCK RESERVOIR,RE670,Bostock Enviromental,-37.60218771817856,144.17668317040832
MALMSBURY RESERVOIR,MALMSBURY,Malmsbury Reservoir,-37.21306225107771,144.37123414562427
GONG GONG RESERVOIR,233272A,FELLMONGERS C AT RES,-37.54465840912044,143.93465099761386
LAANECOORIE RESERVOIR,sp-o10606,Laanecoorie Reservoir,-36.844911857594866,143.87244563840733
GOULBURN WEIR,sp-o10438,Goulburn Weir,-36.72914647908248,145.17476414421725
LAKE EPPALOCK,sp-o10350,Lake Eppalock,-36.885491915545494,144.55878607242263
OSHANNASSY RESERVOIR,229111A,OSHANNASSY RES HG,-37.67262162953508,145.80750240905292
LAKE DARTMOUTH,sp-o10298,Dartmouth,-36.596969582918625,147.59035178490623
SILVAN RESERVOIR,229405A,SILVAN RESERVOIR,-37.84264586298935,145.41321851454256
UPPER STONY CREEK RESERVOIR,RE604,Upper Stony,-37.827875427827124,144.20310094369728
MOORABOOL RESERVOIR,232217A,MOORABOOL WB RES HG,-37.50933002198016,144.08377480374114
TULLAROOP RESERVOIR,sp-o11454,Tullaroop Reservoir,-37.12268734568156,143.86180912518924
LAKE HUME,401027,HUME DAM STORAGE,-36.08285617994699,147.15027805002688
GREENVALE RESERVOIR,229407A,GREENVALE RESERVOIR,-37.62905498968226,144.902199093858
LAKE WILLIAM HOVELL,sp-o11590,Lake William Hovell,-36.92444869188024,146.39027663310216
SANDHURST RESERVOIR,SANDHURST,Sandhurst Storage,-36.845863310624495,144.24395588466143
YAN YEAN RESERVOIR,229406A,YAN YEAN RES HG,-37.5552790223655,145.13789210136116
LAKE KEEPIT,419041,KEEPIT DAM,-30.83339607081604,150.52125468979023
TARAGO RESERVOIR,228224A,TARAGO R-TARAGO RES,-37.999383264848596,145.92406900429677
NEWLYN RESERVOIR,sp-o10926,Newlyn Reservoir,-37.40875302405373,144.00727372241445
KORWEINGUBOORA RESERVOIR,RE690,Korweinguboora Reser,-37.502588084678415,144.14453633375425
LAURISTON RESERVOIR,LAURISTON,Lauriston Reservoir,-37.26287882823213,144.38627082100888
LAURISTON RESERVOIR,UPPERCOLIBAN,Upper Coliban Reservoir,-37.26287882823213,144.38627082100888
UPPER COLIBAN RESERVOIR,UPPERCOLIBAN,Upper Coliban Reservoir,-37.29016776383033,144.40095288802934
BARKERS CREEK RESERVOIR,BARKERSCREEK,Barkers Creek Storage,-36.96548953873892,144.27829996106428
THOMSON DAM,225256A,THOMSON RESERVOIR,-37.78048870150701,146.36391198472046
LAKE BELLFIELD,LAKE_BELLFIELD,Lake Bellfield,-37.19306334702348,142.55080705040774
ISLAND BEND PONDAGE,222539,Island Bend Pondage,-36.318950437368464,148.47146512232197
ROCKLANDS RESERVOIR,ROCKLANDS,Rocklands Reservoir,-37.25223141742319,142.074436001624
LAKE JINDABYNE,222540,Lake Jindabyne RL,-36.37440063146142,148.62560832033373
GEEHI RESERVOIR,401570,Geehi at Geehi Res,-36.300589734865696,148.31939889297064
LAKE CHICHESTER,M309,Chichester Dam,-32.23207948061313,151.67269459236863
TOOMA RESERVOIR,401565,Tooma at Tooma Res,-36.06211280134489,148.27054627397004
GRAHAMSTOWN LAKE,M316,Grahamstown Dam,-32.738671298907235,151.81182557328657
MURRAY 2 PONDAGE,401571,Murray 2 Dam,-36.24161199753997,148.18575134502558
KHANCOBAN PONDAGE,401569,Swampy-Khancbn Pond,-36.23604209877003,148.11592206165025
GUTHEGA PONDAGE,222537,Guthega Pondage RL,-36.38087798438869,148.3669482148868
MARDI DAM,DAM_MARDI.1,DAM-MARDI.Dam_WaterStorage_ML_BOM2012,-33.29677410686719,151.39034522305687
WARTOOK RESERVOIR,WARTOOK,Wartook Reservoir,-37.075909640311124,142.45302220834606
LAKE TUGGERANONG,410784,Lake Tuggeranong Dam,-35.40866536029704,149.06894300207043
LAKE ST CLAIR,210117,GLENNIES CREEK DAM,-32.33974638002247,151.27851711882772
LAKE GINNINDERRA,410765,L Ginninderra at Dam,-35.22932585186934,149.07105625166977
TUMUT TWO PONDAGE,410545,Tumut 2 Dam RL,-35.93261875078704,148.36167377696384
TUMUT POND RESERVOIR,410542,Tumut Pond Reservoir,-35.96760757487302,148.40722035063425
TALBINGO RESERVOIR,410572A,Talbingo Res - RO,-35.688543231341505,148.32126933299458
TANTANGARA RESERVOIR,410543,Tantangara Dam RL,-35.745842844869095,148.6591187125928
YERRABI POND,410791,Yerrabi Pond,-35.17638117250014,149.13119209679004
LAKE BURRENDONG,421078,BURRENDONG DAM,-32.67982159566211,149.1785529856309
CORIN DAM,410742,Corin Res. at Dam,-35.55542502395931,148.8312539960979
BENDORA DAM,410717,Bendora Res. at Dam,-35.457612702644965,148.82442746876995
LAKE EUCUMBENE,222538,Lake Eucumbene RL,-36.08500577158266,148.70672351699486
LAKE GLENBAWN,210097,GLENBAWN DAM,-32.063059766082226,151.01177139508567
JOUNAMA PONDAGE,410573,Jounama Pondage RL,-35.578781996473616,148.29809136799423
LAKE BURRINJUCK,410131,BURRINJUCK DAM,-34.96497578294678,148.72071179059793
LOSTOCK DAM,210102,LOSTOCK DAM,-32.33294042192858,151.44240399385262
BROGO RIVER,219027,BROGO DAM,-36.482151022294524,149.72596025607157
BLOWERING RESERVOIR,410102,BLOWERING DAM,-35.47765041298367,148.26054021920297
BLOWERING RESERVOIR,410573,Jounama Pondage RL,-35.47765041298367,148.26054021920297
LAKE WINDAMERE,421148,WINDAMERE DAM,-32.777211525377865,149.81262722058753
GOOGONG RESERVOIR,410748,Googong Res at Dam,-35.441364078245975,149.26642690884174
LAKE LESLIE,422315B,Leslie Dam,-28.240397705255834,151.90329483900246
LAKE WIVENHOE,143036A,Wivenhoe,-27.287505567022073,152.5504857332484
BOONDOOMA LAKE,136316A,Boondooma Dam,-26.132760184629337,151.4232128470303
LAKE BARAMBAH,136210A,Bjelke-Petersen Dam,-26.345030731360843,152.00790787692972
GOLD CREEK RESERVOIR,143048A,Gold Creek,-27.458893111460444,152.8777237684041
LAKE PINDARI,416030,PINDARI DAM,-29.385048987513045,151.2705888611835
LAKE SAMSONVALE,142801A,North Pine,-27.262502387179087,152.8945089392875
LAKE DYER,143228A,Bill Gunn Dam L Dyer,-27.62986629316202,152.37360965173139
LAKE COPETON,418035,COPETON DAM,-29.916065249302854,150.978289010525
LAKE SOMERSET,143305A,Somerset,-27.0279711209187,152.58132060512008
LAKE MAROON,145021A,Maroon,-28.190359589078273,152.64518786446826
JACK TAYLOR WEIR,422214A,Jack Taylor H.W.,-28.00889880424422,148.61854862751588
LAKE ATKINSON,143234A,Atkinson,-27.42774294929696,152.44469217139806
LAKE WYANGALA,412010,WYANGALA STORAGE,-33.961501205168034,149.00194140844184
CARCOAR LAKE,412106,CARCOAR DAM,-33.61021368116184,149.18208666673422
CARCOAR LAKE,412106,CARCOAR DAM,-33.59752130785957,149.20754355952073
CHAFFEY RESERVOIR DAM,419069,CHAFFEY DAM,-31.3572116277885,151.1272296796085
LAKE MOOGERAH,143111A,Moogerah,-28.04647009422524,152.5402253265695
SPLIT ROCK DAM,419080,SPLIT ROCK DAM,-30.525485782764527,150.69348468491904
LAKE COOLMUNDA,416409A,Coolmunda Dam,-28.44222993713943,151.23352288330187
WEST BARWON RESERVOIR,RE750,West Barwon Res,-38.54689340610333,143.71610327120155
WURDIBOLUC RESERVOIR,RE704,Wurdee Boluc Res,-38.285312719941196,144.03994594849107
WEST GELLIBRAND DAM,RE851,West Gelli Reservoir,-38.603083902269844,143.65220832934452
DEVILBEND RESERVOIR,228264A,DEVILBEND RESERVOIR,-38.28948791127116,145.10462439403017
SCABBY GULLY DAM,ODSS_18335_WSLAHD.1,Manjimup Dam Wsl,-34.27934429052103,116.04563993991076
HELENA RIVER RESERVOIR,ODSS_21168_WSLAHD.1,Mundaring Wsl-Ranger,-31.987218889858596,116.21356591630651
GLEN MERVYN DAM,ODSS_47683_WSLAHD.1,Glen Mervyn Wsl - Logger,-33.498171468429035,116.1003287011949
CEDAR POCKET DAM,138012A,Cedar Pocket,-26.215089195419363,152.7937369279075
VICTORIA RESERVOIR,ODSS_21167_WSLAHD.1,New Victoria Water Level-Ranger,-32.04539454483597,116.07341574082814
WUNGONG RESERVOIR,ODSS_21140_WSLAHD.1,Wungong Water Level-Ranger,-32.21624482943158,116.07678193717643
CANNING RESERVOIR,ODSS_21166_WSLAHD.1,Canning Wsl-Ranger,-32.169941842910205,116.14321763896957
LAKE CALLIDE,130314B,Callide Dam (Intake),-24.355382229809084,150.64193249037447
LAKE TINAROO,110014A,Tinaroo Falls Dam,-17.192912907133902,145.58263722073633
LAKE CANIA,136115A,Cania Dam,-24.630839187189675,150.97991034682678
LAKE BAROON,138121A,Baroon Pocket,-26.7099114908003,152.8715466572103
LAKE MONDURAN,135009A,Fred Haigh Dam,-24.814947966567292,151.79291284311842
WURAMA RESERVOIR,136113A,Wuruma Dam,-25.162945807891834,150.97830718433224
LAKE BORUMBA,138112A,Yabba Ck at Borumba Dam HW,-26.520656191404917,152.5592649328434
LAKE PARANGANA,594.1,PARANGANA LAKE - AT DAM,-41.650005892927865,146.22765595824484
LAKE MACKINTOSH,656.1,MACKINTOSH LAKE - AT DAM,-41.70151318279002,145.67933483914754
KROOMBIT CREEK DAM,130360A,Kroombit Dam,-24.421044359776186,150.78330000032975
LAKE PIEMAN,742.1,PIEMAN LAKE [AT DAM],-41.76331667863431,145.2894812536842
LAKE PIEMAN,658.1,ROSEBERY LAKE [AT DAM],-41.76331667863431,145.2894812536842
LAKE ROSEBERY,656.1,MACKINTOSH LAKE - AT DAM,-41.73646827102935,145.5885375387504
LAKE ROSEBERY,657.1,MURCHISON LAKE - AT DAM,-41.73646827102935,145.5885375387504
LAKE ROSEBERY,658.1,ROSEBERY LAKE [AT DAM],-41.73646827102935,145.5885375387504
LAKE DALRYMPLE,120016A,Burdekin Falls Dam,-20.68744144200103,146.97420434762265
LAKE PALOONA,604.1,BARRINGTON LAKE - AT DAM,-41.30815104509373,146.24930128358847
LAKE PALOONA,627.1,PALOONA LAKE - AT DAM,-41.30815104509373,146.24930128358847
NEVILLE HEWITT WEIR,130304B,Neville Hewitt HW,-24.186963021003805,149.8091521468685
BEDFORD WEIR,130104A,Bedford Weir HW,-23.368158057154677,148.8136200525486
LAKE ROWALLAN,562.1,ROWALLAN LAKE - AT DAM,-41.77538389394679,146.211334954062
LAKE BURBURY,298.1,BURBURY LAKE - AT CROTTY DAM,-42.11965208755642,145.65804347238458
GYRANDA WEIR,130354A,Gyranda Weir HW,-25.295642190906154,150.1695650272677
WHITE SPUR LAKE,295.1,WHITE SPUR POND - AT DAM,-41.8927589890333,145.5302636446737
LAKE MACKENZIE,629.1,MACKENZIE LAKE - AT DAM,-41.675715751494955,146.39082499280084
GREAT LAKE,139.2,GREAT LAKE - AT POATINA INLET,-41.88386079044821,146.7422756823814
ORANGE CREEK WEIR,130354A,Gyranda Weir HW,-25.256538378620522,150.17850907358218
PINE TIER LAGOON,171.1,PINE TIER LAGOON - AT DAM,-42.08498958402066,146.4845757350958
LAKE TREVALLYN,158.1,TREVALLYN LAKE - AT DAM,-41.456918096976445,147.07204227563105
LAKE CETHANA,625.1,CETHANA LAKE - AT DAM,-41.525403960714,146.12682041354944
LAKE NEWTON,296.1,NEWTON LAKE - AT DAM,-41.91462490840488,145.56081640257403
LAKE HENTY,286.1,HENTY LAKE - AT DAM,-41.87931576741115,145.5507614659755
LAKE POONGKALIYARRA,ODSS_57389_WSLAHD.1,Harding WSL - GIS logger at Damsite,-21.01243197381241,117.11602266686153
BINGEGANG WEIR,130106A,Bingegang Weir H/W,-23.08084771197832,149.02229603048946
LAKE MURCHISON,657.1,MURCHISON LAKE - AT DAM,-41.83344095578489,145.69191120526636
LAKE PLIMSOLL,294.1,PLIMSOLL LAKE - AT INTAKE,-41.88767491647744,145.61533979564246
GLEBE WEIR,130338A,Dawson_R Glebe Wr HW,-25.478176620400177,150.01001425980346
LAKE EUNGELLA,120211A,Eungella Dam,-21.156156234173597,148.39969010565818
ARTHURS LAKE,418.1,ARTHURS LAKE - AT PUMP STATION,-41.980582988287146,146.9238907279321
LAKE GAIRDNER,613.1,GAIRDNER LAKE - AT DAM,-41.47772451011232,146.06894012928157
LAKE BARRINGTON,604.1,BARRINGTON LAKE - AT DAM,-41.389400191470536,146.21655577100418
LAKE BARRINGTON,625.1,CETHANA LAKE - AT DAM,-41.389400191470536,146.21655577100418
LAKE AUGUSTA,155.1,AUGUSTA LAKE - AT INTAKE,-41.85370565687612,146.53054796533834
TOONUMBAR DAM,203042,TOONUMBAR DAM STO,-28.60544293489792,152.77034922480584
LAKE MULWALA,sp-o10814,Yarrawonga Weir,-36.00046028814236,146.0715797108663
BUCCA WEIR,135008A,Bucca Weir,-24.88676128438165,152.07112360497936
NED CHURCHWARD WEIR,136023A,Ned Churchward HW,-25.083942228619286,152.02659538514854
BEN ANDERSON BARRAGE,136020A,Ben Anderson Barrage,-24.927563629176284,152.2315073172111
CLAUDE WHARTON WEIR,136003C,Claude Wharton HW,-25.617167072502983,151.55928439285117
MARIAN WEIR,125008A,Mirani Weir HW,-21.14664099340445,148.88575832646802
MIRANI WEIR,125008A,Mirani Weir HW,-21.20219754519232,148.81975979843443
