staion_nam,gauge_ID,lat_gauge,lon_gauge
284,D24,-32.74362461,151.9612514
40A,D21,-32.79766496,151.743779
AMPHITHEATRE RES. HG,408216A,-37.17323546,143.3774979
"Abbotsfield Res, SCADA Probes",GLR1.GLR1TK01,-42.79,147.22
Addlington Ck at Ewen Maddock Dam HW,141012A,-26.779,153.009
Albert R at Nindooinbah Dam HW,145108A,-27.996,153.031
Allen Reservoir,RE931,-38.53766741,143.9448758
Analysers,GOS.GOSTE11,-42.86691421,147.244582
Apollobay basin,SB898,-38.76519,143.65217
Armadeus,6100236,-33.83152086,115.0750066
Aroona Creek/Dam,A5100500,-30.5849,138.3585
BALRANALD LAGOON,41010307,-34.6586,143.4959
BARRINGTON LAKE - AT DAM,604.1,-41.35722222,146.2644722
BEACONSFIELD MR WH90,228268A,-38.02938666,145.4085073
BEREMBED STORAGE,41010904,-34.8775,146.8376
BERRY JERRY LAGOON,41010293,-35.0164,147.0654
BITTERN RES WH100,228265A,-38.3048,145.117
BOGGABILLA W.STORAGE,416065,-28.5895,150.3622
BOOLOOROO W. STORAGE,418051,-29.4145,149.8859
BREWSTER STORAGE,412108,-33.4231,145.9419
BROGO DAM,219027,-36.4911,149.742
BULLARTO RES. H.G.,407327A,-37.378142,144.239983
BUNDIDGERRY STORAGE,410190,-34.767,146.634
BURRINJUCK DAM,410131,-35,148.5989
Barossa Diversion Weir (SA Water),SAWBAWR.1,-34.68712108,138.8533304
Barrage,128,-23.36073701,150.4988748
Bedford Weir HW,130104A,-23.3739,148.84075
Belconnen Pond 3,410652,-35.18852778,149.0143611
Bellarine Basin,SB511,-38.2199,144.5499
Ben Anderson Barrage,136020A,-24.93,152.25525
Ben Dor Weir,416406A,-28.560929,150.867563
Bill Gunn Dam L Dyer,143228A,-27.63166667,152.3794444
Bingegang Weir H/W,130106A,-23.07616667,149.0330833
Bob Pazotas Dam,607040,-34.28433895,116.1546305
Bostock Enviromental,RE670,-37.608,144.1848
Bowen R Weir HW,120299A,-20.74125,147.949
Bridgedams,6091772,-34.00770901,115.1873361
Brilka Creek,A4260602,-34.05394306,141.2571463
Brooklands,6100237,-33.79391076,115.0248722
Buangor Storage,BUANGOR_STORAGE,-37.321271,143.204945
Bucca Weir,135008A,-24.8594,152.0716
Burnett_R Bingera,136005A,-24.93789164,152.191847
CARCOAR DAM,412106,-33.6179,149.1776
CARDINIA RES HG,228263A,-37.9711,145.388
CASCADE CREEK @ No 1,212281,-33.68888912,150.3036115
CASCADE CREEK @ No 3,212283,-33.69138931,150.3002784
CATAGUNYA LAKE - AT DAM,592.1,-42.44777778,146.5938889
CENTENARY RES HG,407335A,-37.074531,143.734516
CETHANA LAKE - AT DAM,625.1,-41.48225,146.1346944
CHAFFEY DAM,419069,-31.348147,151.13947
COCHRANE DAM STORAGE,219033,-36.5703,149.4554
COLDENE LAGOON,41010290,-35.0718,147.7613
COPETON DAM,418035,-29.9049,150.9234
CRESWICK C COSGROVE,407324A,-37.44476765,143.9362454
Cairn Curran Reservoir,sp-o10138,-36.98903,143.96842
Cania Dam,136115A,-24.64975,150.98333
Chinchilla HW Intake,422358A,-26.789053,150.626286
Chinchilla Weir,422358B,-26.799304,150.578926
Clare Weir,120012A,-19.86014,147.2332
Clarendon Weir (SA Water),SAWCLRNDWR.1,-35.11144204,138.6350027
Claude Wharton HW,136003C,-25.61474,151.595
Colac Basin No.4,SB855,-38.3928,143.5935
Colac No.5,SB855B,-38.394978,143.594356
Condamine_R Cecil Wr,422316A,-27.5336733,151.2032948
Condamine_R Loudouns,422333A,-27.22510556,151.1857306
Cooby Dam,69,-27.36415365,151.9682063
DADENONG MR WR4,228269A,-37.947418,145.201713
DAM-MANGRV.Dam_WaterStorage_ML_BOM2012,DAM_MANGRV.1,-33.2177,151.1251
DAM-MARDI.Dam_WaterStorage_ML_BOM2012,DAM_MARDI.1,-33.29697623,151.396566
DEE LAGOON - AT TUNNEL INLET,179.1,-42.24777778,146.5658333
DUMARSQ CK @ DAM,206044,-30.43039688,151.5978328
Dawson at Theodore,130305A,-24.951,150.07385
Dawson_R Glebe Wr HW,130338A,-25.46367,150.03441
Di Fri Dam,607035,-34.29937282,116.0512708
EUROLEY LAGOON,41010297,-34.6401,146.3662
Elmhurst Storage,ELMHURST,-37.194854,143.251071
Eungella Dam,120211A,-21.13809,148.387649
Evolution Dam HW,136022A,-25.23593634,151.7986008
Ewlyamartup,6090057,-33.69808534,117.7372598
FELLMONGERS C AT RES,233272A,-37.54817112,143.9331475
GAIRDNER LAKE - AT DAM,613.1,-41.47230556,146.0731111
GANDANGARR@THIRLMERE,212068,-34.21793808,150.5434691
GANMAIN NO1 LAGOON,41010294,-35.0065,147.033
GANMAIN NO2 LAGOON,41010295,-35.0097,147.0341
GLENBAWN DAM,210097,-32.1026,150.9926
GLENLYON DAM,416315A,-90,141
GLENNIES CREEK DAM,210117,-32.36342393,151.2486243
GOORAGOOL LAGOON,41010300,-34.5833,146.0853
GORAN LK@HOKEY POKEY,419066,-31.3061,150.2
GORDON LAKE [AT INTAKE],646.1,-42.73972222,145.9816667
GREAVES CK @ MEDLOW,212284,-33.65861165,150.2991665
Gandy Dam 1,607036,-34.31945913,116.0812605
Gandy Dam 2,607037,-34.29630385,116.082871
Giru Weir HW,119007A,-19.510482,147.112145
Gorge Weir (SA Water),SAWTOGOWR.1,-34.85586423,138.7311211
Goulburn Weir,sp-o10438,-36.71753229,145.1711321
Gumeracha Weir (SA Water),SAWGUMWR.1,-34.82146043,138.8521103
Gungahlin Pond,410788,-35.19186111,149.1058333
Gyranda Weir HW,130354A,-25.2841,150.18245
HAY STORAGE,41010928,-34.5252,144.7116
HUME,sp-o10510,0,0
Hope Valley Reservoir (SA Water),SAWHOPVRS.1,-34.85185505,138.685684
IP109,D20,-32.78613889,151.8172333
IRIS PARK SWAMP,41010292,-35.087,147.2261
Isabella Pond,410653,-35.42263889,149.0763056
Isis OS,136026A,-25.02488333,152.2357056
JACKSON @ ROSSLYNNE,230216A,-37.4748,144.56893
JEMALONG STORAGE,412172,-33.3999,147.776
Jetty 4099,6090056,-33.58389436,116.7917254
Joe Sippel Weir HW,136215A,-26.268485,152.006693
John Goleby Weir,136120A,-25.254314,151.145612
Jones Weir HW,136004A,-25.59481676,151.2963609
Jounama Pondage RL,410573,-35.56149444,148.3066528
Julius Dam,913015B,-20.129421,139.71463
KING WILLIAM LAKE - AT DAM,128.1,-42.26672222,146.2614444
KIRKS RES,CHWKIRR,0,0
KORJAMNUNNIP C-PYKES,231222A,-37.7446,144.57
Kerferd Reservoir,RES_BEEWKFS,-36.36945,146.73854
Kidston HW,917116A,-19.03644444,144.1226583
Kirar Weir HW,136121A,-25.34556,151.079067
Kolan Barrage,135010B,-24.7849,152.18905
Korweinguboora Reser,RE690,-37.5103,144.1489
Kroombit Dam,130360A,-24.41608333,150.7721389
"Kununurra Diversion Dam Daily Water Level, North W",PI_358347.1,-15.7918695,128.695244
Kununurra Dv. Water Levels SCADA,ODSS_61661_WSLAHD.1,-15.7918695,128.695244
Kununurra Dv. Wsl,ODSS_18313_WSLAHD.1,-15.7918695,128.695244
L Ginninderra at Dam,410765,-35.22252778,149.0651389
L TANDURE@STORAGE,425047,0,0
LA TROBE R NARRACAN,226236A,-38.17110375,146.3401354
LACHLAN LAKE B WEIR,412048,-33.395,145.9863
LAKE CRESCENT AT TEA TREE POINT LAKE LEVEL,4205.1,-42.16092375,147.15573
LAKE SORELL AT CHILLON POINT LAKE LEVEL,4206.1,-42.14126818,147.1770298
LAL LAL C BEALES RES,232219A,-37.54143987,144.0265923
LAL LAL C WILSON RES,232220A,-37.51437,144.01766
LANDSBOROUGH RES HG,415275A,-37.02919537,143.1391578
LATROBE @ YALLOURN,226400B,-38.17128,146.35513
LAUGHING JACK LAGOON - AT DAM,211.1,-42.17583333,146.3306389
LEXTON RES. H.G.,407326A,-37.2794,143.54474
LITTLE PARA RIVER @ Little Para Reservoir,A5040528.1,-34.7536679,138.7190911
LITTLE PINE LAGOON - AT DAM,236.1,-42.01083333,146.59
LOSTOCK DAM,210102,-32.3292,151.4569
Laanecoorie Reservoir,sp-o10606,-36.83120534,143.8917144
Lake Albert,LKALBERT,-90,141
Lake Alexandrina,LKALEX,-90,141
Lake Awoonga,63,-24.06961795,151.310746
Lake Eucumbene RL,222538,-36.13036389,148.6139778
Lake Fyans,LAKE_FYANS,-37.15575,142.62148
Lake Jindabyne RL,222540,-36.34611111,148.6062472
Lake Tuggeranong Dam,410784,-35.40872222,149.0635556
Lake William Hovell,sp-o11590,-36.91340337,146.3863558
Lemon Tree Weir HW,422349A,-27.75328,151.312
Lenthalls Dam HW,137303A,-25.40012969,152.5297982
Little Nerang,146034A,-28.1526195,153.283608
Loombah Reservoir,RES_BENWLOR,-36.7208,146.219074
Lower Stranger Pond,410654,-35.42916667,149.0681944
Luzny Dam,607041,-34.29642936,116.0403728
MACALISTER @ GLENMAG,225225A,-37.90833333,146.8
MARGARET LAKE - AT DAM,370.1,-41.99158333,145.5715
MCKENNAS LAGOON,41010304,-34.4298,145.5102
MEADOWBANK LAKE - AT DAM,565.1,-42.61080556,146.8457778
MENINDEE@COPI HOLLOW,42510037,-32.2674,142.3869
MITCHAM MR WR10,229409A,-37.822121,145.191501
MOLLEYS LAGOON,41010298,-34.723,146.3459
MORANG MR WR33,229413A,-37.645413,145.087531
MOUNT WAVERLEY WR15,229410A,-37.872252,145.137518
MUSICAL GULLY RES.,236228A,-37.37794925,143.3790836
MYPONGA RIVER @ Myponga Reservoir,A5020501.1,-35.40014743,138.4201946
Marengo Basin,SB903,-38.77977607,143.6555179
Marian Weir HW,125003A,-21.141222,148.936264
Mary River Barrage,138013B,-25.5884,152.62535
Meander Loop Basin,A4260601,-34.04561161,141.2518774
Mirani Weir HW,125008A,-21.17788,148.83
Montpellier Basin,SB049,-38.15875126,144.312537
Moura Off-stream,130351A,-24.608948,149.971783
Moura Weir HW,130350B,-24.61006,149.94202
Mt Stuart Res [SCADA Probes],HDR4.HDR4TK04,-42.874,147.297
Mundic West Sump,130372A,-23.643825,150.3736639
Murray 2 Dam,401571,-36.23772778,148.1811528
NAMOI@GUNIDGERA STOR,419060,-30.20115,149.4371667
NAMOI@MOLLEE WR STOR,419062,-30.26515,149.70085
NARRANDERA SF LAGOON,41010296,-34.7391,146.5206
NEWTON LAKE - AT DAM,296.1,-41.91083333,145.5652778
NIMMIE STORAGE,41010287,-34.5011,144.3045
NINE MILE LAGOON,41010305,-34.5491,144.7126
NORTH ESSENDON WR6,229408A,-37.723443,144.904097
NOTTING HILL WR17,229411A,-37.902431,145.126615
Ned Churchward HW,136023A,-25.0515,152.09945
Neville Hewitt HW,130304B,-24.172467,149.813974
Nil Gully Reservoir,RES_MYRWNGR,-36.561487,146.741251
ONKAPARINGA RIVER @ Mt Bold Reservoir,A5030501.1,-35.12322108,138.6829369
Olangolah Reservoir,RE852,-38.61220726,143.6814482
PARANGANA LAKE - AT DAM,594.1,-41.63352778,146.2216111
PEDDER LAKE - AT SERPENTINE,648.1,-42.7775,145.9827778
PENSTOCK LAGOON - AT CANAL OUTLET,508.1,-42.0825,146.7722222
PEVENSEY LAGOON,41010306,-34.5626,144.6643
PINCOTTS RES,CHWPINR,0,0
PINDARI DAM,416030,-29.3854,151.243
PINE TIER LAGOON - AT DAM,171.1,-42.09944445,146.4880556
PI_316582/1,PI_316582.1,-33.289139,116.155162
PLENTY-TOOROURONG HG,229400A,-37.4763,145.153
PLIMSOLL LAKE - AT INTAKE,294.1,-41.86805556,145.6161111
POATINA  RE-REG POND - POND,2507.1,-41.77222222,147.0420278
PRESTON MR WR21,229412A,-37.722791,145.008009
PRESTON MR WR22,229412B,-37.723056,145.009807
PYRITES @ MERRIMU,231223A,-37.63333333,144.4916667
Painkalac Creek Dam,RE961,-38.44253754,144.0671554
Paradise Dam (Alert),136024B,-25.355121,151.919634
Point Hut Pond,410853,-35.45588889,149.0783889
Prospect Reservoir,213240,-33.8328508,150.8901584
Puddledock Dam,206042,-30.40000556,151.73205
R Murray us Lock 4,A4260514,-34.34218011,140.5771656
R Murray us Lock 6,A4260510,-33.99668166,140.8874114
R Murray us Lock 7,A4260508,-34.06818921,141.2449606
R Murray us Lock 8,A4260506,-34.12813613,141.3990856
R Murray us Lock 9,A4260501,-34.19163481,141.5978642
REDBANK CK RES. HG,408218A,-36.95059195,143.3156778
REDBANK STORAGE,41010966,-34.3779,143.7827
ROSEBERY LAKE [AT DAM],658.1,-41.73555556,145.5322222
"Reservoir, Analysers",SR.RBR1TK01,-42.81,147.36
"Reservoir, SCADA Probes",SRR9.SRR9TK11,-42.79,147.28
"Reservoir, SCADA Probes",LFR5.LFSTK01,-42.81,147.23
"Reservoir, SCADA Probes",SOR2.SOR2TK01,-42.83,147.44
"Reservoir, SCADA Probes",CSR4.CSR4TK03,-42.89,147.43
"Reservoir, SCADA Probes",SRR6.SRR6TK01,-42.77,147.27
"Reservoir, SCADA Probes",CSR3.CSR3TK01,-42.86,147.37
"Reservoir, SCADA Probes",SRR4.SRR4VP11,-42.84,147.35
"Reservoir, Sample Point",CSR6.CSR6TK08,-42.903,147.493
Ross Dam,9573,-19.40985495,146.7374221
SCADA Probes,NLUP.NLR3TK05,-42.58,147.458
SCADA Probes,SRR3.SRR3TK01,-42.722,147.221
SCADA Probes,HDR6.HDR6TK06,-42.86,147.291
SCADA Probes,WRD1.WRD1DS01,-42.8086215,147.3340472
SCADA Probes,HMD1.HMD1DS01,-42.91589702,147.2929694
SCADA Probes,WDR24.WDR2TK04,-42.864,147.323
SCADA Probes,NLST.NLR2TK06,-42.669,147.38
SCADA Probes,HBR4.HBR4TK01,-42.876,147.279
SCADA Probes,LFSTE.LFSTE21,-42.88,147.3
SCADA Probes,RBD1.RBD1DS01,-42.8086215,147.3340472
SCADA Probes,LFR6.LFR6TK01,-42.836,147.255
SCADA Probes,WR.WRSTK07,-42.911,147.292
SCADA Probes,CRR1T.CRR1TK01,-42.852,147.453
SCADA Probes,CSR9.CSR9TK09,-42.861,147.458
SCADA Probes,LFR2.LFR2TK02,-42.86,147.28
SCADA Probes,WDR2.WDR2TK01,-42.864,147.325
SCADA Probes,GOD2.GOD2DS07,-42.86,147.25
SCADA Probes,HDR2.HDR2TK01,-42.883,147.305
SCADA Probes,NLD1DS.NLD1DS01LE01,-42.72462983,147.4084085
SCADA Probes,NLR1.NLR1TK01,-42.584,147.224
SCADA Probes,FGD1.FGD1DS01,-42.84086556,147.3726604
SCADA Probes,CSR5.CSR5TK04,-42.861,147.458
SCADA Probes,GOD1.GOD1DS01,-42.85389405,147.2351495
SCADA Probes,GOD3.GOD3DS09,-42.84934954,147.2547143
SCADA Probes,HDR1.HDR1TK01,-42.885,147.316
SCADA Probes,LFD1.LFD1DS01,-42.67621667,146.6252722
SCADA Probes,LFR9.LFR9TK10,-42.872,147.298
SK1273b,D30,-32.7424497,152.1501028
SK3491,D23,0,0
SK3534,D22,-32.797996,151.7884522
SOUTH PARA RIVER @ Warren Reservoir,A5050500.1,-34.70962638,138.9188573
STONY C TABLOT RES.,407334A,-37.24958,143.64047
SUGARLOAF RES DAM,229607A,-37.6724,145.279
SUGARLOAF RES. H.G.,408217A,-37.103981,143.402094
SUNSHOWER LAGOON,41010301,-34.6062,146.0196
Scrivener Dam,570016A,-35.3372,149.2289
Seaham Weir,M350,-32.6599,151.7432
Seaham Weir,D146,-32.6599,151.7432
Selma Weir,130205B,-23.540819,148.145628
Silverleaf Weir HW,136205A,-26.165709,151.81449
Stag Creek Weir,130352A,-24.305273,150.810621
Swampy-Khancbn Pond,401569,-36.22064444,148.1089389
TANJIL @ BLUE ROCK,226230A,-38.07768889,146.2279389
TARAGO R-TARAGO RES,228224A,-38.0214,145.941
TAREELAROI STORAGE,418043,-29.4472,150.0336
TOMBULLEN STORAGE,41010971,-34.6455,146.1365
TOONUMBAR DAM STO,203042,-28.6185,152.7936
TORRENS RIVER @ Kangaroo Ck. Res.,A5040531.1,-34.86494831,138.7748339
Talgai Weir HW,422340A,-27.99138,151.75796
Tantangara Dam RL,410543,-35.79570833,148.6631972
Tartrus Weir,130109A,-22.955783,149.423351
Teddington Weir HW,138005A,-25.65041421,152.6653108
Teemburra Dam,125015A,-21.21755,148.66505
Tinana Barrage HW,138008A,-25.57206,152.7181
Tooma at Tooma Res,401565,-36.05471667,148.2782083
Torrumbarry Weir,sp-o11430,-35.9491905,144.47741
Tugg Ck at Weir,410771,-35.41905556,149.0738333
Tullaroop Reservoir,sp-o11454,-37.09296795,143.8637307
Tumut Pond Reservoir,410542,-35.96495556,148.3900722
Upper Stony,RE604,-37.8233,144.2062
Upper Stony NO.2,RE604A,-37.8233,144.2062
Upper Stony NO.3,RE604B,-37.8233,144.2062
Us Flood Cntrl Dam,A5040530,-35.0416,138.5916
Us Goolwa Bg Daily,A4261005,-35.527906,138.8084421
Us Mundoo Barrage,A4260526,-35.54052822,138.9043613
Us Tauwitchere Dly,A4261006,-35.58278636,139.0018599
Val Bird HW,119008A,-19.562898,147.095823
WAYATINAH LAGOON - AT INTAKE,190.1,-42.40216667,146.5171389
WERRIBEE R MELTON RS,231221A,-37.74471,144.56932
WHITE SPUR POND - AT DAM,295.1,-41.89611111,145.5297222
WINDAMERE DAM,421148,-32.7259,149.7675
WINGECARRIBEE RIVER AT GREENSTEAD,212009.1,0,0
WOMBAT CK @ RES H.G.,407313A,-37.39072,144.17505
WOODFORD CK @ DAM,212286,-33.70027787,150.4841665
WOODS LAKE - AT DAM,462.1,-42.07641667,147.0270278
WYANGALA STORAGE,412010,-33.9688,148.9517
Warragamba Dam Level,212243,-33.89111111,150.5911111
Warrego_R Cunnamulla,423202C,-28.116875,145.6866028
Water Copperlode Dam,1392,-16.97947521,145.6746228
Whetstone Weir,416401A,-28.467399,150.954623
Woongarra OS,136025A,-24.92156944,152.2681361
Wurdee Boluc Res,RE704,-38.2822277,144.050396
Wuruma Dam,136113A,-25.20059,150.9898
YANCO @ TARABAH STOR,41000212,-34.88593374,146.2771092
YANCO STORAGE,41010981,-34.703,146.4176
YARRADDA LAGOON,41010302,-34.5847,145.8236
Yabba Ck at Borumba Dam HW,138112A,-26.50967519,152.5818648
Yealering,6150002,-32.59697157,117.6269034
