,ID,Depth,Surface Area,number of images
0,ODSS_18335_WSLAHD.1,220,223750,27
1,ODSS_18335_WSLAHD.1,219,213750,89
2,ODSS_18335_WSLAHD.1,218,206875,113
3,ODSS_18335_WSLAHD.1,217,188125,123
4,ODSS_18335_WSLAHD.1,216,166875,83
5,ODSS_18335_WSLAHD.1,215,142500,32
6,ODSS_18335_WSLAHD.1,214,113750,30
7,ODSS_18335_WSLAHD.1,213,0,5
8,ODSS_18335_WSLAHD.1,221,0,0
0,604.1,121,5269375,247
1,604.1,120,5278750,134
2,604.1,119,5266875,39
3,604.1,118,4868125,8
4,604.1,117,0,3
5,604.1,122,5263750,60
6,604.1,123,1250,4
7,604.1,116,0,0
8,604.1,124,0,0
0,136115A,312,1434375,53
1,136115A,313,1655000,6
2,136115A,314,1758750,7
3,136115A,311,1280625,3
4,136115A,310,1263125,5
5,136115A,309,986875,1
6,136115A,308,825000,31
7,136115A,307,775000,70
8,136115A,306,690000,13
9,136115A,305,587500,7
10,136115A,319,3156250,12
11,136115A,320,3288750,25
12,136115A,321,3340625,11
13,136115A,318,2848750,16
14,136115A,317,2624375,7
15,136115A,316,2271875,12
16,136115A,315,2155000,28
17,136115A,322,0,0
18,136115A,324,0,0
19,136115A,327,5243750,16
20,136115A,329,5798125,67
21,136115A,331,6218750,32
22,136115A,330,6156250,132
23,136115A,333,0,0
24,136115A,332,0,0
25,136115A,328,5463125,20
26,136115A,326,0,0
27,136115A,325,0,0
28,136115A,323,0,0
0,BARKERSCREEK,364,379375,99
1,BARKERSCREEK,363,326875,128
2,BARKERSCREEK,365,431250,7
3,BARKERSCREEK,366,0,0
4,BARKERSCREEK,362,264375,116
5,BARKERSCREEK,361,205000,78
6,BARKERSCREEK,360,158750,33
7,BARKERSCREEK,359,118125,7
8,BARKERSCREEK,358,106875,15
9,BARKERSCREEK,357,63750,22
10,BARKERSCREEK,356,0,9
0,sp-o10350,185,13782500,15
1,sp-o10350,184,12660625,11
2,sp-o10350,183,11180000,15
3,sp-o10350,182,9663125,17
4,sp-o10350,186,16040000,14
5,sp-o10350,187,17880000,23
6,sp-o10350,188,19245625,21
7,sp-o10350,189,22152500,28
8,sp-o10350,190,23260000,12
9,sp-o10350,191,25992500,42
10,sp-o10350,192,28068750,57
11,sp-o10350,193,29710000,56
12,sp-o10350,181,8503125,12
13,sp-o10350,180,7461875,7
14,sp-o10350,179,6725000,5
15,sp-o10350,178,5155625,5
16,sp-o10350,177,4728125,14
17,sp-o10350,176,4119375,20
18,sp-o10350,175,3401875,28
19,sp-o10350,174,3106875,55
20,sp-o10350,173,2809375,25
21,sp-o10350,172,2381250,22
22,sp-o10350,171,1980625,25
23,sp-o10350,170,1587500,4
24,sp-o10350,169,1194375,6
25,sp-o10350,168,1041250,4
26,sp-o10350,167,758750,4
27,sp-o10350,166,516875,2
28,sp-o10350,165,567500,9
29,sp-o10350,194,29942500,10
30,sp-o10350,195,0,0
0,222537,1573,41875,134
1,222537,1574,46875,167
2,222537,1575,57500,150
3,222537,1571,26875,94
4,222537,1572,35000,107
5,222537,1570,20000,45
6,222537,1576,60625,123
7,222537,1577,66875,107
8,222537,1578,72500,124
9,222537,1579,86875,72
10,222537,1582,162500,27
11,222537,1580,76250,38
12,222537,1581,83750,18
13,222537,1569,6875,12
14,222537,1567,0,0
15,222537,1568,3125,1
16,222537,1583,0,0
0,229406A,181,4800625,139
1,229406A,182,4944375,464
2,229406A,180,4551875,168
3,229406A,179,4282500,79
4,229406A,178,3965000,58
5,229406A,177,3770000,136
0,RE690,576,53125,46
1,RE690,575,9375,8
2,RE690,577,111250,56
3,RE690,578,143125,50
4,RE690,579,197500,99
5,RE690,580,241250,117
6,RE690,581,280000,42
7,RE690,582,398125,33
8,RE690,583,466250,58
9,RE690,584,488750,4
0,sp-o10298,455,41713750,9
1,sp-o10298,454,41192500,6
2,sp-o10298,453,40508750,5
3,sp-o10298,452,40321250,9
4,sp-o10298,456,40732500,7
5,sp-o10298,457,42203125,4
6,sp-o10298,458,42193125,6
7,sp-o10298,459,42148750,4
8,sp-o10298,460,42678125,9
9,sp-o10298,461,43585000,18
10,sp-o10298,462,43758125,28
11,sp-o10298,463,37808750,3
12,sp-o10298,464,43700000,4
13,sp-o10298,465,44556875,4
14,sp-o10298,466,39476875,7
15,sp-o10298,467,43380625,8
16,sp-o10298,468,44926875,9
17,sp-o10298,469,45468750,8
18,sp-o10298,470,45453125,12
19,sp-o10298,471,45860000,19
20,sp-o10298,472,46005000,32
21,sp-o10298,473,41580625,5
22,sp-o10298,474,46240625,9
23,sp-o10298,475,46098750,9
24,sp-o10298,476,46605000,13
25,sp-o10298,477,46744375,10
26,sp-o10298,478,46766250,10
27,sp-o10298,479,46935625,38
28,sp-o10298,451,0,2
29,sp-o10298,450,38221250,4
30,sp-o10298,449,38875625,12
31,sp-o10298,448,37649375,15
32,sp-o10298,447,37741250,21
33,sp-o10298,446,37195000,11
34,sp-o10298,445,36614375,11
35,sp-o10298,444,36463125,28
36,sp-o10298,443,35973125,3
37,sp-o10298,442,33955625,1
38,sp-o10298,441,32240625,1
39,sp-o10298,440,31199375,2
40,sp-o10298,439,30594375,2
41,sp-o10298,438,28122500,1
42,sp-o10298,437,0,1
43,sp-o10298,436,31323750,3
44,sp-o10298,435,0,1
45,sp-o10298,434,228125,2
46,sp-o10298,433,0,2
47,sp-o10298,432,0,1
48,sp-o10298,431,27076875,7
49,sp-o10298,430,29021875,11
50,sp-o10298,429,28434375,10
51,sp-o10298,428,28331250,4
52,sp-o10298,427,0,2
53,sp-o10298,426,0,2
54,sp-o10298,425,0,1
55,sp-o10298,424,0,1
56,sp-o10298,423,21040625,2
57,sp-o10298,422,0,1
58,sp-o10298,421,0,1
59,sp-o10298,420,22090000,2
60,sp-o10298,419,23133750,11
61,sp-o10298,418,23526875,12
62,sp-o10298,417,22867500,5
63,sp-o10298,416,22444375,7
64,sp-o10298,415,0,1
65,sp-o10298,414,10048750,2
66,sp-o10298,413,5625,1
67,sp-o10298,412,16779375,2
68,sp-o10298,411,3750,9
69,sp-o10298,410,18582500,12
70,sp-o10298,409,14706250,1
71,sp-o10298,408,16945625,3
72,sp-o10298,407,0,1
73,sp-o10298,406,16651875,3
74,sp-o10298,405,0,1
75,sp-o10298,404,0,1
76,sp-o10298,403,0,2
77,sp-o10298,402,0,3
78,sp-o10298,401,0,3
79,sp-o10298,400,5229375,5
80,sp-o10298,399,0,1
81,sp-o10298,480,47710625,7
82,sp-o10298,481,47136250,12
83,sp-o10298,482,47164375,18
84,sp-o10298,483,47202500,8
85,sp-o10298,484,47146875,9
86,sp-o10298,485,47272500,14
87,sp-o10298,305,0,0
88,sp-o10298,172,0,0
89,sp-o10298,203,0,0
0,410545,817,36875,48
1,410545,818,44375,85
2,410545,819,50000,113
3,410545,820,50000,168
4,410545,821,51875,268
5,410545,822,51875,265
6,410545,823,56875,39
7,410545,816,38125,30
8,410545,814,6250,2
9,410545,815,41875,11
10,410545,813,0,0
0,sp-o11534,118,50172500,93
1,sp-o11534,117,46385000,137
2,sp-o11534,116,43258750,253
3,sp-o11534,115,40415625,250
4,sp-o11534,119,53450625,93
5,sp-o11534,120,56994375,152
6,sp-o11534,121,58761250,44
7,sp-o11534,114,36910625,36
8,sp-o11534,113,34766875,23
9,sp-o11534,112,31495000,26
0,656.1,226,6093750,126
1,656.1,225,5868125,110
2,656.1,224,5853750,105
3,656.1,223,5855625,96
4,656.1,222,5639375,82
5,656.1,221,5761250,35
6,656.1,220,5306875,15
7,656.1,219,1250,6
8,656.1,227,6028125,101
9,656.1,228,5992500,127
10,656.1,229,6306250,69
11,656.1,230,0,0
0,171.1,668,627500,563
1,171.1,667,565000,110
2,171.1,669,745000,233
3,171.1,670,868750,135
4,171.1,671,904375,38
5,171.1,672,0,0
0,410717,778,568750,161
1,410717,777,567500,110
2,410717,776,551250,149
3,410717,775,531250,211
4,410717,774,523125,272
5,410717,773,506250,199
6,410717,772,488750,88
7,410717,771,469375,23
8,410717,770,421875,9
9,410717,769,442500,10
10,410717,779,0,0
11,410717,768,372500,6
12,410717,767,85625,2
0,627.1,51,1201250,115
1,627.1,52,1210625,221
2,627.1,53,1235625,68
3,627.1,50,1126875,30
4,627.1,54,1231250,40
5,627.1,49,195625,17
6,627.1,55,13750,4
7,627.1,56,0,0
0,UPPERCOLIBAN,500,2550625,22
1,UPPERCOLIBAN,499,2296875,10
2,UPPERCOLIBAN,498,2160625,21
3,UPPERCOLIBAN,497,2022500,25
4,UPPERCOLIBAN,496,1897500,16
5,UPPERCOLIBAN,495,1701875,10
6,UPPERCOLIBAN,494,1480000,14
7,UPPERCOLIBAN,493,1371250,12
8,UPPERCOLIBAN,492,1222500,13
9,UPPERCOLIBAN,501,2767500,38
10,UPPERCOLIBAN,502,3029375,27
11,UPPERCOLIBAN,503,3289375,21
12,UPPERCOLIBAN,504,3404375,33
13,UPPERCOLIBAN,505,3578125,129
14,UPPERCOLIBAN,491,911875,4
15,UPPERCOLIBAN,490,856875,5
16,UPPERCOLIBAN,489,749375,10
17,UPPERCOLIBAN,488,585625,13
18,UPPERCOLIBAN,487,521875,25
19,UPPERCOLIBAN,486,379375,8
20,UPPERCOLIBAN,485,165000,6
21,UPPERCOLIBAN,484,50625,22
22,UPPERCOLIBAN,483,15000,19
23,UPPERCOLIBAN,482,33750,5
24,UPPERCOLIBAN,481,0,1
0,233272A,511,155625,38
1,233272A,510,135000,53
2,233272A,512,180000,40
3,233272A,513,193125,44
4,233272A,514,200625,36
5,233272A,509,117500,77
6,233272A,508,101250,42
7,233272A,507,93125,37
8,233272A,506,74375,63
9,233272A,505,49375,10
10,233272A,504,51250,17
11,233272A,503,41250,23
12,233272A,502,51250,27
13,233272A,501,25000,43
14,233272A,500,20000,13
15,233272A,499,8750,5
16,233272A,498,8125,13
17,233272A,497,2500,25
18,233272A,496,0,8
19,233272A,495,3750,11
0,sp-o11590,408,978125,232
1,sp-o11590,407,969375,96
2,sp-o11590,406,928125,27
3,sp-o11590,405,891875,27
4,sp-o11590,404,847500,26
5,sp-o11590,403,786875,30
6,sp-o11590,402,768750,18
7,sp-o11590,401,733750,11
8,sp-o11590,400,663125,16
9,sp-o11590,399,645000,9
10,sp-o11590,398,611250,15
11,sp-o11590,397,552500,20
12,sp-o11590,396,522500,14
13,sp-o11590,395,485000,4
14,sp-o11590,394,4375,4
15,sp-o11590,393,0,0
16,sp-o11590,392,0,0
17,sp-o11590,409,0,0
0,233232A,530,787500,58
1,233232A,529,744375,88
2,233232A,528,675625,29
3,233232A,527,640000,30
4,233232A,531,868750,61
5,233232A,532,926250,67
6,233232A,533,985000,99
7,233232A,534,1035000,78
8,233232A,526,555625,19
9,233232A,525,545625,6
10,233232A,524,488750,19
11,233232A,523,428750,29
12,233232A,522,341250,15
13,233232A,521,361250,11
14,233232A,520,0,4
15,233232A,519,205000,5
16,233232A,518,158750,3
17,233232A,517,141250,3
18,233232A,516,0,1
19,233232A,535,1080625,100
20,233232A,536,1088125,39
0,136023A,18,5355000,205
1,136023A,19,5649375,151
2,136023A,17,4489375,127
3,136023A,16,4186875,53
4,136023A,15,3073125,63
5,136023A,14,2783750,14
6,136023A,13,2164375,4
7,136023A,20,6236875,7
8,136023A,21,0,0
9,136023A,22,4721875,1
10,136023A,23,0,0
11,136023A,26,0,0
12,136023A,28,0,0
13,136023A,24,3265000,1
14,136023A,27,0,0
15,136023A,25,2266875,1
0,sp-o10930,264,5135000,151
1,sp-o10930,263,4842500,59
2,sp-o10930,262,4439375,46
3,sp-o10930,261,3963125,45
4,sp-o10930,260,3471875,69
5,sp-o10930,259,3215625,28
6,sp-o10930,258,2763125,21
7,sp-o10930,257,2486250,43
8,sp-o10930,256,2185000,42
9,sp-o10930,255,2005625,20
10,sp-o10930,265,0,0
11,sp-o10930,254,1518125,5
12,sp-o10930,253,1462500,9
13,sp-o10930,241,0,0
14,sp-o10930,250,0,0
15,sp-o10930,251,0,0
0,203042,129,963125,427
1,203042,128,906250,69
2,203042,127,862500,52
3,203042,126,743125,16
4,203042,130,0,0
5,203042,125,746875,4
6,203042,124,213125,3
7,203042,123,565625,10
8,203042,122,525625,8
9,203042,121,440000,5
10,203042,120,385000,5
11,203042,119,157500,1
12,203042,118,153750,1
13,203042,117,0,1
14,203042,116,26875,1
15,203042,115,181875,1
16,203042,114,0,0
17,203042,131,0,0
0,130354A,154,1044375,53
1,130354A,155,1106875,106
2,130354A,156,1148750,260
3,130354A,157,1253125,307
4,130354A,158,1412500,10
5,130354A,153,1048750,51
6,130354A,152,955000,30
7,130354A,151,948750,37
8,130354A,150,703125,22
9,130354A,159,823750,9
10,130354A,160,5139375,4
11,130354A,161,1030625,2
12,130354A,162,0,1
0,135009A,61,12881875,23
1,135009A,62,14390625,18
2,135009A,60,11860625,57
3,135009A,59,9383125,15
4,135009A,58,8175625,9
5,135009A,57,7165625,3
6,135009A,56,5748750,3
7,135009A,55,1875,3
8,135009A,54,0,1
9,135009A,53,3305000,5
10,135009A,52,2937500,5
11,135009A,51,3093125,18
12,135009A,50,0,3
13,135009A,49,0,1
14,135009A,64,18594375,49
15,135009A,66,21428125,47
16,135009A,67,25179375,26
17,135009A,68,26461875,38
18,135009A,69,28932500,43
19,135009A,70,30490000,62
20,135009A,71,32085000,42
21,135009A,65,20571250,77
22,135009A,63,16238750,17
23,135009A,72,36573750,6
24,135009A,73,41381250,128
25,135009A,74,44201875,152
26,135009A,75,45532500,292
27,135009A,76,48152500,18
28,135009A,77,0,1
29,135009A,78,0,1
30,135009A,79,0,0
31,135009A,82,0,0
32,135009A,81,0,0
33,135009A,80,0,0
0,ODSS_21168_WSLAHD.1,132,4089375,44
1,ODSS_21168_WSLAHD.1,131,3761250,91
2,ODSS_21168_WSLAHD.1,130,3389375,111
3,ODSS_21168_WSLAHD.1,129,3062500,164
4,ODSS_21168_WSLAHD.1,128,2726875,116
5,ODSS_21168_WSLAHD.1,133,4296250,21
6,ODSS_21168_WSLAHD.1,127,2528125,67
7,ODSS_21168_WSLAHD.1,134,3805000,5
0,229130A,137,1600000,48
1,229130A,136,1568750,38
2,229130A,135,1517500,33
3,229130A,134,1440625,36
4,229130A,133,1391250,54
5,229130A,132,1311875,47
6,229130A,131,1236875,39
7,229130A,130,1195625,43
8,229130A,138,1650625,42
9,229130A,139,1666250,129
10,229130A,129,1118125,17
11,229130A,128,5000,5
12,229130A,127,0,2
13,229130A,126,0,0
0,136113A,207,1793125,17
1,136113A,208,2034375,20
2,136113A,206,1460625,10
3,136113A,205,1106875,6
4,136113A,204,1121250,3
5,136113A,203,846875,3
6,136113A,202,650625,55
7,136113A,201,578125,47
8,136113A,200,491875,72
9,136113A,211,2946875,19
10,136113A,215,4590625,7
11,136113A,214,4178750,9
12,136113A,213,3645000,8
13,136113A,212,3396875,20
14,136113A,210,2745625,11
15,136113A,209,2335000,11
16,136113A,217,0,0
17,136113A,218,0,1
18,136113A,220,0,0
19,136113A,221,0,0
20,136113A,223,0,0
21,136113A,225,11970625,22
22,136113A,228,14159375,124
23,136113A,231,0,0
24,136113A,230,0,0
25,136113A,229,0,0
26,136113A,227,13518125,98
27,136113A,226,12481875,38
28,136113A,224,0,0
29,136113A,222,0,0
0,ODSS_21167_WSLAHD.1,193,368125,115
1,ODSS_21167_WSLAHD.1,192,343750,99
2,ODSS_21167_WSLAHD.1,191,321250,76
3,ODSS_21167_WSLAHD.1,190,303125,80
4,ODSS_21167_WSLAHD.1,189,285625,61
5,ODSS_21167_WSLAHD.1,188,263750,55
6,ODSS_21167_WSLAHD.1,194,395000,65
7,ODSS_21167_WSLAHD.1,195,429375,29
8,ODSS_21167_WSLAHD.1,196,460000,25
9,ODSS_21167_WSLAHD.1,187,241250,36
10,ODSS_21167_WSLAHD.1,186,236875,18
11,ODSS_21167_WSLAHD.1,185,215000,7
12,ODSS_21167_WSLAHD.1,184,185000,2
13,ODSS_21167_WSLAHD.1,183,188125,7
14,ODSS_21167_WSLAHD.1,197,497500,18
15,ODSS_21167_WSLAHD.1,198,514375,27
16,ODSS_21167_WSLAHD.1,199,513125,5
0,228264A,68,1827500,279
1,228264A,67,1617500,525
2,228264A,69,2030000,9
3,228264A,66,1436875,175
0,130338A,164,211875,58
1,130338A,165,387500,126
2,130338A,166,738750,40
3,130338A,167,902500,52
4,130338A,168,1033750,84
5,130338A,169,1213750,138
6,130338A,171,1311250,42
7,130338A,170,1273750,633
8,130338A,172,1341250,4
9,130338A,174,1463125,2
10,130338A,175,0,0
11,130338A,176,0,0
12,130338A,173,1390000,2
13,130338A,177,0,0
14,130338A,179,0,1
15,130338A,180,0,0
16,130338A,163,186250,23
0,130104A,120,738125,44
1,130104A,121,935625,73
2,130104A,123,1594375,265
3,130104A,124,1706875,167
4,130104A,122,1384375,568
5,130104A,119,747500,18
6,130104A,118,544375,3
7,130104A,126,1225625,1
8,130104A,128,0,0
9,130104A,129,2665000,1
10,130104A,130,2935000,1
11,130104A,127,0,0
12,130104A,125,0,0
13,130104A,131,0,0
14,130104A,132,0,0
0,143048A,95,120000,67
1,143048A,96,0,0
2,143048A,94,111250,24
3,143048A,93,114375,55
4,143048A,92,99375,291
5,143048A,91,81250,61
6,143048A,90,60625,3
7,143048A,89,53125,5
8,143048A,88,54375,7
9,143048A,87,45625,82
10,143048A,86,31875,16
11,143048A,85,0,0
0,286.1,518,9375,280
1,286.1,519,10000,396
2,286.1,520,18750,116
3,286.1,521,23125,38
4,286.1,522,32500,35
5,286.1,523,17500,7
0,130304B,79,550000,134
1,130304B,80,612500,285
2,130304B,81,723125,13
3,130304B,78,476250,56
4,130304B,77,439375,51
5,130304B,76,410625,19
6,130304B,83,878750,5
7,130304B,82,798125,12
8,130304B,75,249375,7
9,130304B,84,0,0
10,130304B,85,0,1
11,130304B,86,0,0
12,130304B,87,0,0
0,410742,953,2346875,29
1,410742,952,2275000,26
2,410742,951,2234375,29
3,410742,950,2194375,51
4,410742,949,2140000,30
5,410742,948,2081875,42
6,410742,947,2048125,42
7,410742,946,1976250,33
8,410742,954,2410625,21
9,410742,955,2435625,123
10,410742,945,1941875,62
11,410742,944,1868750,55
12,410742,943,1796875,73
13,410742,942,1768750,67
14,410742,941,1718125,53
15,410742,940,1655000,33
16,410742,939,1635000,36
17,410742,938,1551875,23
18,410742,937,1522500,43
19,410742,936,1531250,37
20,410742,935,1408125,47
21,410742,934,1341250,30
22,410742,933,1250000,15
23,410742,932,1252500,21
24,410742,931,1228125,29
25,410742,930,1152500,25
26,410742,929,1093125,23
27,410742,928,1083750,11
28,410742,927,1018750,32
29,410742,926,1003750,16
30,410742,925,818750,3
31,410742,924,916875,4
32,410742,923,865000,7
33,410742,922,804375,4
34,410742,921,819375,3
35,410742,920,762500,14
36,410742,919,787500,8
37,410742,918,415000,4
38,410742,917,0,3
39,410742,916,624375,3
40,410742,915,359375,4
41,410742,914,3125,11
42,410742,956,0,0
0,143036A,67,109765000,25
1,143036A,66,107336875,251
2,143036A,65,101102500,124
3,143036A,64,93775625,140
4,143036A,63,84592500,134
5,143036A,62,77675000,119
6,143036A,61,72547500,94
7,143036A,60,67802500,45
8,143036A,59,62170625,21
9,143036A,58,58686250,29
10,143036A,57,53526250,19
11,143036A,56,51239375,51
12,143036A,55,47902500,29
13,143036A,54,43003125,56
14,143036A,53,37981250,23
15,143036A,52,33187500,14
16,143036A,51,31073125,32
17,143036A,50,28718750,16
18,143036A,69,111624375,2
19,143036A,68,0,1
20,143036A,71,0,0
21,143036A,74,0,0
22,143036A,73,0,0
23,143036A,72,0,0
24,143036A,70,60065000,2
0,136020A,2,5907500,230
1,136020A,3,6621250,296
2,136020A,4,6817500,9
3,136020A,1,5452500,53
4,136020A,5,0,0
5,136020A,6,0,0
6,136020A,7,0,0
7,136020A,8,0,0
8,136020A,9,0,0
9,136020A,11,0,0
10,136020A,12,0,0
11,136020A,10,0,1
12,136020A,16,0,0
13,136020A,17,0,0
14,136020A,14,0,0
0,401027,183,137296250,43
1,401027,182,131491875,62
2,401027,181,125823750,55
3,401027,180,120255000,54
4,401027,179,114891250,54
5,401027,178,108002500,42
6,401027,177,101516875,49
7,401027,176,96950625,54
8,401027,175,92885000,57
9,401027,184,143873125,32
10,401027,185,150962500,40
11,401027,186,158000000,48
12,401027,187,166671875,43
13,401027,188,172123125,44
14,401027,189,179305000,29
15,401027,190,187000000,67
16,401027,191,196378125,103
17,401027,192,170117500,1
18,401027,174,87990000,49
19,401027,173,84561875,52
20,401027,172,76998750,27
21,401027,171,71920625,23
22,401027,170,64711875,31
23,401027,169,54903750,32
24,401027,168,47384375,10
25,401027,167,42545625,19
26,401027,166,37104375,18
27,401027,165,33172500,11
28,401027,164,28639375,5
0,110014A,668,29924375,167
1,110014A,669,30781875,145
2,110014A,670,31750625,185
3,110014A,671,16637500,1
4,110014A,672,0,0
5,110014A,667,28954375,178
6,110014A,666,28101250,111
7,110014A,665,26801875,75
8,110014A,664,25700000,51
9,110014A,663,24038750,19
10,110014A,662,21598750,56
11,110014A,661,20673750,45
12,110014A,660,19740625,40
13,110014A,659,18266875,16
14,110014A,658,17190000,12
15,110014A,657,11485625,3
16,110014A,656,14328125,10
0,143234A,64,4933750,54
1,143234A,63,4470000,70
2,143234A,62,3975000,40
3,143234A,61,3404375,65
4,143234A,60,3070000,94
5,143234A,59,2586875,53
6,143234A,58,2150625,78
7,143234A,57,1358750,599
8,143234A,65,5391875,174
9,143234A,66,0,0
0,412106,847,3552500,75
1,412106,846,3455000,93
2,412106,845,3295000,71
3,412106,844,3009375,73
4,412106,843,2671875,54
5,412106,842,2301875,42
6,412106,841,2205000,15
7,412106,840,1950000,18
8,412106,839,1768750,14
9,412106,838,1563750,35
10,412106,837,1431250,87
11,412106,836,1288125,43
12,412106,835,1094375,74
13,412106,834,926250,48
14,412106,833,759375,70
15,412106,832,687500,111
16,412106,831,628125,86
17,412106,830,581250,82
18,412106,829,500000,54
19,412106,828,461875,23
0,419080,449,20013125,3
1,419080,448,19648125,35
2,419080,447,204375,2
3,419080,446,18262500,40
4,419080,445,17086250,8
5,419080,444,13253750,2
6,419080,443,0,0
7,419080,442,15748125,1
8,419080,441,14923125,2
9,419080,440,0,0
10,419080,439,0,1
11,419080,438,12443125,1
12,419080,437,12662500,3
13,419080,436,12378750,1
14,419080,435,0,1
15,419080,434,11363750,1
16,419080,433,10779375,2
17,419080,432,9196250,1
18,419080,431,9953750,69
19,419080,430,9602500,28
20,419080,429,8854375,33
21,419080,428,8540625,11
22,419080,427,7810000,70
23,419080,426,7438125,28
24,419080,425,6743125,8
25,419080,424,6526250,19
26,419080,423,6056875,11
27,419080,422,5754375,20
28,419080,421,5093125,3
29,419080,420,207500,2
30,419080,419,4483125,16
31,419080,418,4109375,43
32,419080,417,3791250,51
33,419080,416,3302500,25
34,419080,415,2818750,19
35,419080,414,2481250,48
36,419080,413,2195000,8
37,419080,412,0,0
38,419080,411,0,0
39,419080,410,0,0
0,422214A,194,2530000,32
1,422214A,193,2391250,406
2,422214A,192,2011250,107
3,422214A,191,1645625,58
4,422214A,190,1188125,16
5,422214A,196,3369375,1
6,422214A,198,5571250,3
7,422214A,199,0,0
8,422214A,197,0,0
9,422214A,195,3349375,1
10,422214A,200,0,0
11,422214A,189,0,0
0,410791,612,223125,741
1,410791,611,216250,433
0,sp-o10109,264,2923125,296
1,sp-o10109,263,2787500,123
2,sp-o10109,262,2530000,168
3,sp-o10109,261,2234375,308
4,sp-o10109,260,1890625,127
5,sp-o10109,259,1680625,43
6,sp-o10109,258,1503125,52
7,sp-o10109,257,1215000,34
8,sp-o10109,256,1033125,15
9,sp-o10109,255,930625,5
10,sp-o10109,254,0,0
0,130106A,100,221875,149
1,130106A,101,250625,196
2,130106A,102,315625,636
3,130106A,103,375000,130
4,130106A,104,530625,18
5,130106A,105,606875,5
6,130106A,106,0,0
7,130106A,108,0,0
8,130106A,109,502500,2
9,130106A,110,0,0
10,130106A,111,0,0
11,130106A,107,0,0
12,130106A,112,0,1
13,130106A,99,117500,3
0,410572A,542,15191250,270
1,410572A,541,15158125,217
2,410572A,543,15115000,4
3,410572A,540,15129375,115
4,410572A,539,14986250,56
5,410572A,538,14856250,31
6,410572A,537,14675000,13
7,410572A,536,0,1
8,410572A,535,0,0
0,120016A,154,251600000,174
1,120016A,155,280917500,16
2,120016A,156,332138125,6
3,120016A,157,340735000,3
4,120016A,153,241671875,208
5,120016A,152,218041875,105
6,120016A,151,196381875,77
7,120016A,150,171111250,36
8,120016A,149,150303125,9
9,120016A,148,127410625,8
10,120016A,158,355858750,1
11,120016A,159,0,1
12,120016A,160,0,0
13,120016A,147,108361875,3
14,120016A,146,69417500,3
15,120016A,137,0,0
0,ODSS_47683_WSLAHD.1,201,327500,173
1,ODSS_47683_WSLAHD.1,200,290000,96
2,ODSS_47683_WSLAHD.1,199,253750,105
3,ODSS_47683_WSLAHD.1,198,218125,135
4,ODSS_47683_WSLAHD.1,197,188750,45
5,ODSS_47683_WSLAHD.1,196,137500,26
6,ODSS_47683_WSLAHD.1,195,123750,10
7,ODSS_47683_WSLAHD.1,194,77500,8
8,ODSS_47683_WSLAHD.1,193,76875,6
9,ODSS_47683_WSLAHD.1,192,0,0
0,419041,327,36382500,8
