staion_nam,gauge_ID,lat,lon,NEAR_FID,NEAR_DIST
MACALISTER @ GLENMAG,225225A,-37.90833333,146.8,-1,-1
MACKENZIE LAKE - AT DAM,629.1,-41.68027778,146.3831944,551,0
MACKINTOSH LAKE - AT DAM,656.1,-41.69722222,145.6463889,480,0
MALPAS DAM,206036,-30.2894,151.7372,143,0
MARGARET LAKE - AT DAM,370.1,-41.99158333,145.5715,560,0.000122418
MAUDE STORAGE,41010941,-34.4763,144.3047,194,0
MCCALLUMS C EVAN RES,407333A,-37.27562072,143.6541953,110,0
MCKENNAS LAGOON,41010304,-34.4298,145.5102,-1,-1
MEADOWBANK LAKE - AT DAM,565.1,-42.61080556,146.8457778,-1,-1
MENINDEE@COPI HOLLOW,42510037,-32.2674,142.3869,-1,-1
MILLBROOK RESERVOIR @ DAM EMBANKMENT,A5040520.1,-34.83259978,138.806997,231,0
MITCHAM MR WR10,229409A,-37.822121,145.191501,-1,-1
MOLLEYS LAGOON,41010298,-34.723,146.3459,-1,-1
MOORABOOL WB RES HG,232217A,-37.51551006,144.0847696,39,0
MORANG MR WR33,229413A,-37.645413,145.087531,-1,-1
MOUNT WAVERLEY WR15,229410A,-37.872252,145.137518,-1,-1
MURCHISON LAKE - AT DAM,657.1,-41.78277778,145.6463889,602,0
MUSICAL GULLY RES.,236228A,-37.37794925,143.3790836,-1,-1
MYPONGA RIVER @ Myponga Reservoir,A5020501.1,-35.40014743,138.4201946,384,0.000415079
Malmsbury Reservoir,MALMSBURY,-37.210576,144.370136,24,0
"Manjimup Dam Daily Dam Water Level, South West Reg",PI_342996.1,-34.2788675,116.04553,408,0
Manjimup Dam Wsl,ODSS_18335_WSLAHD.1,-34.2788675,116.04553,408,0
Marengo Basin,SB903,-38.77977607,143.6555179,-1,-1
Marian Weir HW,125003A,-21.141222,148.936264,669,0.000266035
Maroon,145021A,-28.189798,152.644859,308,0
Mary River Barrage,138013B,-25.5884,152.62535,670,0.003591113
McCallsay Reservoir,RES_BENWMSR,-36.788587,146.210809,61,0
McCay Storage,MCCAY,-37.091096,144.300013,12,0
Meander Loop Basin,A4260601,-34.04561161,141.2518774,43,0.012082777
Middle Cascade,212281.3,-33.690155,150.3026625,196,0
Middle Cascade,212281.1,-33.690155,150.3026625,196,0
Millbrook Reservoir (SA Water),SAWMILBRS.1,-34.82773248,138.8143135,231,0
Mirani Weir HW,125008A,-21.17788,148.83,672,0.000576861
Montpellier Basin,SB049,-38.15875126,144.312537,-1,-1
"Moochalabra Daily Dam Water Level, North West Regi",PI_359775.1,-15.6183465,128.102765,-1,-1
Moochalabra WSL,ODSS_39563_WSLAHD.1,-15.6183465,128.102765,-1,-1
Moochalabra WSL Logged DOW,ODSS_55089_WSLAHD.1,-15.6183465,128.102765,-1,-1
Moogerah,143111A,-28.0435625,152.540456,388,0
Moolabah Weir,4222007A,-27.991932,148.735166,352,0
Moora Moora Reservoir,MOORA,-37.22993,142.42362,115,0
Moura Off-stream,130351A,-24.608948,149.971783,574,5.51351E-05
Moura Weir HW,130350B,-24.61006,149.94202,503,0.000419005
Mt Bold Reservoir (SA Water),SAWMTBORS.1,-35.11934755,138.7095377,349,0
Mt Cole Reservoir,MT_COLE,-37.28187,143.20495,122,0
Mt Stuart Res [SCADA Probes],HDR4.HDR4TK04,-42.874,147.297,-1,-1
Mundaring Dam Storage Volume,ODSS_12030_STAMN.1,-31.9913885,116.215395,410,0
Mundaring Water levels - SCADA,ODSS_52306_WSLAHD.1,-31.9913885,116.215395,410,0
"Mundaring Weir Daily Dam Water Level, Perth Region",PI_230045.1,-31.9913885,116.215395,410,0
Mundaring Wsl-Logger,ODSS_53437_WSLAHD.1,-31.9913885,116.215395,410,0
Mundaring Wsl-Ranger,ODSS_21168_WSLAHD.1,-31.9913885,116.215395,410,0
Mundic West Sump,130372A,-23.643825,150.3736639,-1,-1
Murray 2 Dam,401571,-36.23772778,148.1811528,103,0.002395991
Myponga Reservoir (SA Water),SAWMYPRS.1,-35.39704456,138.4352397,384,0
NAMOI@GUNIDGERA STOR,419060,-30.20115,149.4371667,-1,-1
NAMOI@MOLLEE WR STOR,419062,-30.26515,149.70085,-1,-1
NARRANDERA SF LAGOON,41010296,-34.7391,146.5206,-1,-1
NEWTON LAKE - AT DAM,296.1,-41.91083333,145.5652778,589,0.000416963
NIMMIE STORAGE,41010287,-34.5011,144.3045,194,0.015906511
NINE MILE LAGOON,41010305,-34.5491,144.7126,-1,-1
NORTH ESSENDON WR6,229408A,-37.723443,144.904097,-1,-1
NORTHERN @ U/SOFREGU,41200213,-33.42634145,145.9420946,36,0
NOTTING HILL WR17,229411A,-37.902431,145.126615,-1,-1
Near Waltowa Swamp,A4261153,-35.60295223,139.3363968,18,0
Ned Churchward HW,136023A,-25.0515,152.09945,663,0.000470827
Nepean,212205.3,-34.360153,150.593278,193,0
Nepean,212205.1,-34.360153,150.593278,193,0
Neville Hewitt HW,130304B,-24.172467,149.813974,505,0.000728033
New Victoria WSL - Logger Data,ODSS_45533_WSLAHD.1,-32.043836,116.075355,430,0
New Victoria Water Level-Ranger,ODSS_21167_WSLAHD.1,-32.043836,116.075355,430,0
Newlyn Reservoir,sp-o10926,-37.408774,144.007265,53,0
Nil Gully Reservoir,RES_MYRWNGR,-36.561487,146.741251,-1,-1
No 7 Dam,132,-23.64198256,150.4061572,585,0
"North Dandalup Main Dam Daily Dam Water Level, Per",PI_14564.1,-32.517006,116.0284705,434,0
North Pine,142801A,-27.2615345,152.8984545,274,0
Nth Dandalup WSL - Logger Data,ODSS_45531_WSLAHD.1,-32.517006,116.0284705,434,0
Nth Dandalup Water Level-Ranger,ODSS_21138_WSLAHD.1,-32.517006,116.0284705,434,0
OBERON DAM,421189,-33.72500784,149.8646464,147,0
ONKAPARINGA RIVER @ Mt Bold Reservoir,A5030501.1,-35.12322108,138.6829369,349,0.000378154
OSHANNASSY RES HG,229111A,-37.675075,145.805751,31,0
OUTEASTERN@LAKE BREW,41200215,-33.4755889,145.9659697,36,0
OUTWESTERN@LAKEBREWS,41200214,-33.47553943,145.9660941,36,0
Olangolah Reservoir,RE852,-38.61220726,143.6814482,-1,-1
"Ord River Daily Dam Water Level, North West Region",PI_357925.1,-16.1135755,128.732855,-1,-1
PALOONA LAKE - AT DAM,627.1,-41.28327778,146.2491667,498,0
PARANGANA LAKE - AT DAM,594.1,-41.63352778,146.2216111,479,9.36137E-05
PEDDER LAKE - AT SERPENTINE,648.1,-42.7775,145.9827778,-1,-1
PENSTOCK LAGOON - AT CANAL OUTLET,508.1,-42.0825,146.7722222,600,0.000977319
PEVENSEY LAGOON,41010306,-34.5626,144.6643,-1,-1
PIEMAN LAKE [AT DAM],742.1,-41.72583333,145.1366667,487,0
PINCOTTS RES,CHWPINR,0,0,-1,-1
PINDARI DAM,416030,-29.3854,151.243,264,0.000602304
PINE TIER LAGOON - AT DAM,171.1,-42.09944445,146.4880556,568,0.000307473
PI_316582/1,PI_316582.1,-33.289139,116.155162,-1,-1
PLENTY-TOOROURONG HG,229400A,-37.4763,145.153,-1,-1
PLIMSOLL LAKE - AT INTAKE,294.1,-41.86805556,145.6161111,607,0.000731093
POATINA  RE-REG POND - POND,2507.1,-41.77222222,147.0420278,-1,-1
PRESTON MR WR21,229412A,-37.722791,145.008009,-1,-1
PRESTON MR WR22,229412B,-37.723056,145.009807,-1,-1
PYRITES @ MERRIMU,231223A,-37.63333333,144.4916667,-1,-1
Painkalac Creek Dam,RE961,-38.44253754,144.0671554,-1,-1
Paradise Dam,136024A,-25.35111111,151.9195,461,0
Paradise Dam (Alert),136024B,-25.355121,151.919634,461,0.000798983
Perseverance Dam,71,-27.30033951,152.1229327,398,0
Peter Faust Dam,122010A,-20.36671,148.3822,454,0
Pine Lake,PINE,-36.77836,142.34736,21,0
Point Hut Pond,410853,-35.45588889,149.0783889,-1,-1
Poltalloch Plns,A4260575,-35.4522,139.3501,17,0
Poona,141013A,-26.596007,152.91015,426,0
Prospect,213240.1,-33.820135,150.8922225,156,0
Prospect,213240.3,-33.820135,150.8922225,156,0
Prospect Reservoir,213240,-33.8328508,150.8901584,156,9.88493E-05
Puddledock Dam,206042,-30.40000556,151.73205,-1,-1
"Quickup Daily Dam Water Level, Albany, Great South",PI_427.1,-34.8991375,117.3856875,414,0
Quickup Wsl,ODSS_18327_WSLAHD.1,-34.8991375,117.3856875,414,0
Quickup Wsl - Logger,ODSS_51192_WSLAHD.1,-34.8991375,117.3856875,414,0
R Murray us Lock 1,A4260902,-34.34995762,139.6155508,624,0
R Murray us Lock 2,A4260518,-34.07720506,139.9321373,625,0
R Murray us Lock 3,A4260516,-34.18796957,140.3590967,626,0
R Murray us Lock 4,A4260514,-34.34218011,140.5771656,-1,-1
R Murray us Lock 5,A4260512,-34.18872837,140.7665993,627,0
R Murray us Lock 6,A4260510,-33.99668166,140.8874114,-1,-1
R Murray us Lock 7,A4260508,-34.06818921,141.2449606,-1,-1
R Murray us Lock 8,A4260506,-34.12813613,141.3990856,-1,-1
R Murray us Lock 9,A4260501,-34.19163481,141.5978642,-1,-1
REDBANK CK RES. HG,408218A,-36.95059195,143.3156778,-1,-1
REDBANK STORAGE,41010966,-34.3779,143.7827,-1,-1
REPULSE LAKE - AT DAM,580.1,-42.50722222,146.6463333,-1,-1
ROSEBERY LAKE [AT DAM],658.1,-41.73555556,145.5322222,487,0.000665677
ROWALLAN LAKE - AT DAM,562.1,-41.73141667,146.2163611,510,0
"Reservoir, Analysers",SR.RBR1TK01,-42.81,147.36,-1,-1
"Reservoir, SCADA Probes",SRR9.SRR9TK11,-42.79,147.28,-1,-1
"Reservoir, SCADA Probes",LFR5.LFSTK01,-42.81,147.23,-1,-1
"Reservoir, SCADA Probes",SOR2.SOR2TK01,-42.83,147.44,-1,-1
"Reservoir, SCADA Probes",CSR4.CSR4TK03,-42.89,147.43,-1,-1
"Reservoir, SCADA Probes",SRR6.SRR6TK01,-42.77,147.27,-1,-1
"Reservoir, SCADA Probes",CSR3.CSR3TK01,-42.86,147.37,-1,-1
"Reservoir, SCADA Probes",SRR4.SRR4VP11,-42.84,147.35,-1,-1
"Reservoir, Sample Point",CSR6.CSR6TK08,-42.903,147.493,-1,-1
Rocklands Reservoir,ROCKLANDS,-37.24297,141.97901,67,0
Ross Dam,9573,-19.40985495,146.7374221,453,7.02087E-05
Ross River Dam,532020A,-19.41166667,146.7352778,453,0
Ross_R Ross R Dam,118104A,-19.41166667,146.7352778,453,0
SCADA Probes,NLUP.NLR3TK05,-42.58,147.458,-1,-1
SCADA Probes,SRR3.SRR3TK01,-42.722,147.221,-1,-1
SCADA Probes,HDR6.HDR6TK06,-42.86,147.291,-1,-1
SCADA Probes,WRD1.WRD1DS01,-42.8086215,147.3340472,-1,-1
SCADA Probes,HMD1.HMD1DS01,-42.91589702,147.2929694,-1,-1
SCADA Probes,WDR24.WDR2TK04,-42.864,147.323,-1,-1
SCADA Probes,NLST.NLR2TK06,-42.669,147.38,-1,-1
SCADA Probes,HBR4.HBR4TK01,-42.876,147.279,-1,-1
SCADA Probes,LFSTE.LFSTE21,-42.88,147.3,-1,-1
SCADA Probes,RBD1.RBD1DS01,-42.8086215,147.3340472,-1,-1
SCADA Probes,LFR6.LFR6TK01,-42.836,147.255,-1,-1
SCADA Probes,WR.WRSTK07,-42.911,147.292,-1,-1
SCADA Probes,CRR1T.CRR1TK01,-42.852,147.453,-1,-1
SCADA Probes,CSR9.CSR9TK09,-42.861,147.458,-1,-1
SCADA Probes,LFR2.LFR2TK02,-42.86,147.28,-1,-1
SCADA Probes,WDR2.WDR2TK01,-42.864,147.325,-1,-1
SCADA Probes,GOD2.GOD2DS07,-42.86,147.25,-1,-1
SCADA Probes,HDR2.HDR2TK01,-42.883,147.305,-1,-1
SCADA Probes,NLD1DS.NLD1DS01LE01,-42.72462983,147.4084085,-1,-1
SCADA Probes,NLR1.NLR1TK01,-42.584,147.224,-1,-1
SCADA Probes,FGD1.FGD1DS01,-42.84086556,147.3726604,-1,-1
SCADA Probes,CSR5.CSR5TK04,-42.861,147.458,-1,-1
SCADA Probes,GOD1.GOD1DS01,-42.85389405,147.2351495,-1,-1
SCADA Probes,GOD3.GOD3DS09,-42.84934954,147.2547143,-1,-1
SCADA Probes,HDR1.HDR1TK01,-42.885,147.316,-1,-1
SCADA Probes,LFD1.LFD1DS01,-42.67621667,146.6252722,-1,-1
SCADA Probes,LFR9.LFR9TK10,-42.872,147.298,-1,-1
SHANNON LAGOON - AT DAM,520.1,-42.00916667,146.7388889,531,0
SILVAN RESERVOIR,229405A,-37.8367,145.4167,35,0
SK1273b,D30,-32.7424497,152.1501028,-1,-1
SK3491,D23,0,0,-1,-1
SK3534,D22,-32.797996,151.7884522,-1,-1
SOUTH PARA RIVER @ South Para Dam,A5050516.1,-34.68962869,138.8569352,329,0
SOUTH PARA RIVER @ Warren Reservoir,A5050500.1,-34.70962638,138.9188573,381,0.000264094
SOUTH@LAKE BREWSTER,41200212,-33.47574363,145.9661379,36,0
SPLIT ROCK DAM,419080,-30.5776,150.6997,390,0
STONY C TABLOT RES.,407334A,-37.24958,143.64047,79,3.3745E-05
SUGARLOAF RES DAM,229607A,-37.6724,145.279,1,0.009396352
SUGARLOAF RES. H.G.,408217A,-37.103981,143.402094,-1,-1
SUNSHOWER LAGOON,41010301,-34.6062,146.0196,-1,-1
Samson Bk Wsl,ODSS_18326_WSLAHD.1,-32.884366,116.0295775,422,0
Samson Brook Dam Water levels Logger,ODSS_61742_WSLAHD.1,-32.884366,116.0295775,422,0
"Samson Pipehead Daily Dam Water Level, Bunbury, So",PI_1930.1,-32.884366,116.0295775,422,0
Sandhurst Storage,SANDHURST,-36.84562,144.244158,46,0
Scabby Gully Dam Wsl Logger,ODSS_56581_WSLAHD.1,-34.2788675,116.04553,408,0
Scrivener Dam,570016A,-35.3372,149.2289,-1,-1
Seaham Weir,M350,-32.6599,151.7432,-1,-1
Seaham Weir,D146,-32.6599,151.7432,-1,-1
Selma Weir,130205B,-23.540819,148.145628,540,0.000938063
Serp. P/Head Water Level - Logger,ODSS_57568_WSLAHD.1,-32.385145,116.07399,416,0
"Serpentine Dam Daily Dam Water Level, Perth Region",PI_238185.1,-32.459706,116.152275,438,0
Serpentine Main Dam WSL - Logger,ODSS_45534_WSLAHD.1,-32.459706,116.152275,438,0
Serpentine Main Dam WSL - Ranger,ODSS_21139_WSLAHD.1,-32.459706,116.152275,438,0
"Serpentine Pipehead Dam Daily Dam Water Level, Per",PI_230046.1,-32.385145,116.07399,416,0
Silverleaf Weir HW,136205A,-26.165709,151.81449,-1,-1
Somerset,143305A,-27.0394235,152.5689775,306,0
"South Dandalup Dam Daily Dam Water Level, Perth Re",PI_13881.1,-32.6760495,116.100205,436,0
South Para Reservoir (SA Water),SAWSPARRS.1,-34.70002874,138.8655376,329,0
SpringGully Storage,SPRINGGULLY,-36.804869,144.279156,49,0
St.CLAIR LAKE - AT PUMP HOUSE POINT,131.1,-42.10502778,146.2020833,553,0
Stag Creek Weir,130352A,-24.305273,150.810621,-1,-1
Sth Dandalup Wsl-Logger,ODSS_57569_WSLAHD.1,-32.6760495,116.100205,436,0
Sth Dandalup Wsl-Ranger,ODSS_21137_WSLAHD.1,-32.6760495,116.100205,436,0
"Stirling Dam Daily Dam Water Level, Bunbury, South",PI_321984.1,-33.107073,116.0456435,445,0
Stirling Dam Storage Level,ODSS_42363_GLEVN.1,-33.107073,116.0456435,445,0
Stirling WSL - Logger Data,ODSS_45532_WSLAHD.1,-33.107073,116.0456435,445,0
Stirling Wsl,ODSS_18315_WSLAHD.1,-33.107073,116.0456435,445,0
Swampy-Khancbn Pond,401569,-36.22064444,148.1089389,112,1.51029E-05
TANJIL @ BLUE ROCK,226230A,-38.07768889,146.2279389,-1,-1
TARAGO R-TARAGO RES,228224A,-38.0214,145.941,51,0.002237639
TAREELAROI STORAGE,418043,-29.4472,150.0336,324,0.000570807
TARRALEAH No.2 POND - AT TARRALEAH No.2 POND,553.1,-42.30563889,146.4174444,-1,-1
THOMSON RESERVOIR,225256A,-37.837,146.39,59,0
TOMBULLEN STORAGE,41010971,-34.6455,146.1365,394,0.001682
TOONUMBAR DAM STO,203042,-28.6185,152.7936,620,0.000374131
TORRENS RIVER @ Kangaroo Ck. Res.,A5040531.1,-34.86494831,138.7748339,261,0.000824169
TREVALLYN LAKE - AT DAM,158.1,-41.44755556,147.0868333,572,0
TUNGATINAH LAGOONS - AT DAM,170.1,-42.28194444,146.4652778,-1,-1
Talbingo Res - RO,410572A,-35.62396389,148.2999167,160,0
Talgai Weir HW,422340A,-27.99138,151.75796,-1,-1
Tallowa,215212.3,-34.749206,150.3447575,164,0
Tallowa,215212.1,-34.749206,150.3447575,164,0
Tantangara Dam RL,410543,-35.79570833,148.6631972,161,8.3646E-05
Tartrus Weir,130109A,-22.955783,149.423351,528,0.000608382
Taylors Lake,TAYLORS,-36.77312,142.38656,3,0
Teddington Weir HW,138005A,-25.65041421,152.6653108,-1,-1
Teemburra Dam,125015A,-21.21755,148.66505,458,0.000143201
Ten Mile Bk Wsl,ODSS_18325_WSLAHD.1,-33.963617,115.1248985,-1,-1
Ten Mile Brook Dam WSL SCADA,ODSS_61927_WSLAHD.1,-33.963617,115.1248985,-1,-1
Teviot Brook at Wyaralong Dam HW,145033A,-27.909,152.881,623,0
Tinana Barrage HW,138008A,-25.57206,152.7181,671,0.000659686
Tinaroo Falls Dam,110014A,-17.164314,145.546399,456,0
Toolondo Reservoir,TOOLONDO,-37.01325,141.947,32,0
Tooma at Tooma Res,401565,-36.05471667,148.2782083,94,0.000519143
Torrumbarry Weir,sp-o11430,-35.9491905,144.47741,228,0.001258323
Tugg Ck at Weir,410771,-35.41905556,149.0738333,146,0.000646076
Tullaroop Reservoir,sp-o11454,-37.09296795,143.8637307,40,0.000468381
Tumut 2 Dam RL,410545,-35.92665,148.3622139,155,0
Tumut Pond Reservoir,410542,-35.96495556,148.3900722,159,0.000129216
Upper Cascade,212283.3,-33.695258,150.2997795,208,0
Upper Cascade,212283.1,-33.695258,150.2997795,208,0
Upper Coliban Reservoir,UPPERCOLIBAN,-37.288668,144.393997,56,0
Upper Stony,RE604,-37.8233,144.2062,37,0.000270405
Upper Stony NO.2,RE604A,-37.8233,144.2062,37,0.000270405
Upper Stony NO.3,RE604B,-37.8233,144.2062,37,0.000270405
Us Flood Cntrl Dam,A5040530,-35.0416,138.5916,-1,-1
Us Goolwa Bg Daily,A4261005,-35.527906,138.8084421,-1,-1
Us Mundoo Barrage,A4260526,-35.54052822,138.9043613,-1,-1
Us Tauwitchere Dly,A4261006,-35.58278636,139.0018599,17,0.000567761
Val Bird HW,119008A,-19.562898,147.095823,-1,-1
"Victoria Dam Daily Dam Water Level, Perth Region",PI_342930.1,-32.043836,116.075355,430,0
WARANGA BASIN,sp-o11534,-36.556052,145.096115,8,0
WATTS RIV-MAROONDAH,229130A,-37.6429,145.555,15,0
WAYATINAH LAGOON - AT INTAKE,190.1,-42.40216667,146.5171389,-1,-1
WERRIBEE R MELTON RS,231221A,-37.74471,144.56932,-1,-1
WHITE SPUR POND - AT DAM,295.1,-41.89611111,145.5297222,535,0.00123699
WINDAMERE DAM,421148,-32.7259,149.7675,206,0.00024193
WINGECARRIBEE RIVER AT GREENSTEAD,212009.1,0,0,-1,-1
WOMBAT CK @ RES H.G.,407313A,-37.39072,144.17505,-1,-1
WOODFORD CK @ DAM,212286,-33.70027787,150.4841665,68,0.000210769
WOODS LAKE - AT DAM,462.1,-42.07641667,147.0270278,558,0.000160034
WORONORA DAM,213210,-34.10929569,150.9365189,199,0
WYANGALA STORAGE,412010,-33.9688,148.9517,319,0.000602408
Wappa,141014A,-26.569487,152.919823,468,0
"Waroona Dam Daily Dam Water Level, Bunbury, South",PI_321994.1,-32.8480895,115.996525,421,0
Waroona Dam Water Level,ODSS_46394_WSLAHD.1,-32.8480895,115.996525,421,0
Waroona Dam Water Level Logger,ODSS_47359_WSLAHD.1,-32.8480895,115.996525,421,0
Warragamba,212243.3,-33.9925245,150.421642,50,0
Warragamba,212243.1,-33.9925245,150.421642,50,0
Warragamba Dam Level,212243,-33.89111111,150.5911111,50,0.000150587
Warrego_R Cunnamulla,423202C,-28.116875,145.6866028,-1,-1
Warren Reservoir (SA Water),SAWWARRRS.1,-34.70606599,138.9244543,381,0
Wartook Reservoir,WARTOOK,-37.07561,142.45338,137,0
Water Copperlode Dam,1392,-16.97947521,145.6746228,457,0.000669156
"Wellington Dam Daily Dam Water Level, Bunbury, Sou",PI_321995.1,-33.385948,116.0100675,450,0
Wellington Wsl,ODSS_18320_WSLAHD.1,-33.385948,116.0100675,450,0
Wellington Wsl Logger,ODSS_57614_WSLAHD.1,-33.385948,116.0100675,450,0
West Barwon Res,RE750,-38.53182732,143.7209973,399,0
West Gelli Reservoir,RE851,-38.59899654,143.6537143,401,0
Whetstone Weir,416401A,-28.467399,150.954623,-1,-1
White Swan,233232A,-37.517683,143.924324,19,0
Wingecarribee,212212.1,-34.5559095,150.4975415,184,0
Wingecarribee,212212.3,-34.5559095,150.4975415,184,0
Wivenhoe,143036A,-27.312063,152.54542,222,0
Woongarra OS,136025A,-24.92156944,152.2681361,664,0.015848482
Woronora,213210.1,-34.139494,150.9468655,199,0
Woronora,213210.3,-34.139494,150.9468655,199,0
"Wungong Dam Daily Dam Water Level, Perth Region",PI_342931.1,-32.2204575,116.080426,431,0
Wungong Water Level-Logger,ODSS_57570_WSLAHD.1,-32.2204575,116.080426,431,0
Wungong Water Level-Ranger,ODSS_21140_WSLAHD.1,-32.2204575,116.080426,431,0
Wurdee Boluc Res,RE704,-38.2822277,144.050396,400,9.99407E-05
Wuruma Dam,136113A,-25.20059,150.9898,470,4.93218E-05
YAN YEAN RES HG,229406A,-37.5523,145.129,47,0
YANCO @ TARABAH STOR,41000212,-34.88593374,146.2771092,-1,-1
YANCO STORAGE,41010981,-34.703,146.4176,-1,-1
YARRA RIV-UY RES HG,229102A,-37.673072,145.90096,16,0
YARRADDA LAGOON,41010302,-34.5847,145.8236,-1,-1
Yabba Ck at Borumba Dam HW,138112A,-26.50967519,152.5818648,472,0.000263976
Yarrawonga Weir,sp-o10814,-36.0103075,146.091535,622,0
Yealering,6150002,-32.59697157,117.6269034,-1,-1
Yerrabi Pond,410791,-35.17719444,149.1278333,163,0
